# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:03:46.431Z
# export_time=2026-05-17T18:03:48.031Z
# n_trials=500
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=5
# N=50
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,50,1,17.333333333333332,36,8.333333333333334,0.48076923076923084,0.2314814814814815,50.11269837220805,1.3073446370410517,0.03819533488676384,0.009389107964848169,5.882352941176471,18,2.36,26,91.69548800000001
1,50,9974,15,27.00000000000001,8.333333333333334,0.5555555555555556,0.3086419753086419,47.52691193458115,1.2977673135042354,0.02391501186640161,0.004593366975934304,6.666666666666667,22,2.48,27,30.77371100000005
2,50,19947,13.999999999999995,27.00000000000001,8.333333333333334,0.5952380952380955,0.3086419753086419,40.698484809834966,1.3369554966415302,0.05986028144184079,0.01206151886520806,6.666666666666667,18,2.72,24,9.784699999999987
3,50,29920,16.16666666666666,48.00000000000002,8.333333333333334,0.5154639175257735,0.17361111111111105,39.62741699796949,1.298845641329254,0.04776791314311581,0.014468734531771471,6.666666666666667,18,2.68,24,23.581546000000003
4,50,39893,14.833333333333334,36.00000000000001,8.333333333333334,0.5617977528089888,0.23148148148148145,42.04163056034259,1.3665284482951678,0.08085402441023769,-0.03298547268212552,6.451612903225806,24,2.6,25,26.66172800000004
5,50,49866,14.16666666666667,27.000000000000007,8.333333333333334,0.588235294117647,0.3086419753086419,41.11269837220806,1.3050095785089089,0.06421911863026072,0.017771320837195525,7.142857142857143,28,2.72,28,21.17881399999999
6,50,59839,15.166666666666664,27,8.333333333333334,0.5494505494505496,0.308641975308642,42.87005768508878,1.4234992096941959,0.17415261714314895,0.1404867338082481,6.451612903225806,22,2.6,26,19.245717000000013
7,50,69812,12.499999999999995,27.000000000000007,8.333333333333334,0.666666666666667,0.3086419753086419,42.87005768508878,1.2566821396041248,0.023356795773026868,0.005654135035305916,7.142857142857143,24,2.6,24,21.251999999999953
8,50,79785,13.166666666666663,27,8.333333333333334,0.6329113924050636,0.308641975308642,46.52691193458115,1.3090645515023311,0.03942900548258781,0.008915058736336369,6.666666666666667,21,2.52,26,16.39374900000007
9,50,89758,15.166666666666666,36.00000000000001,8.333333333333334,0.5494505494505495,0.23148148148148145,43.28427124746187,1.3550276749941315,0.08748388708575462,0.029359196305284094,6.666666666666667,18,2.6,27,24.11947699999996
10,50,99731,11.33333333333333,18.000000000000004,8.333333333333334,0.7352941176470591,0.4629629629629629,46.87005768508877,1.2904844051750488,0.03224982870223145,-0.0073779727061509,7.407407407407407,20,2.44,21,32.78013499999997
11,50,109704,15.333333333333329,27,8.333333333333334,0.5434782608695654,0.308641975308642,45.52691193458114,1.3121928211966412,0.017977185021500513,0.00295512174257998,6.451612903225806,22,2.56,26,20.713157000000024
12,50,119677,19.83333333333332,36,8.333333333333334,0.42016806722689104,0.2314814814814815,51.52691193458114,1.5325468997717477,0.2480927328784382,0.20912781364286717,5.405405405405405,21,2.32,29,18.839150000000018
13,50,129650,9.833333333333332,18.000000000000007,8.333333333333334,0.8474576271186443,0.4629629629629628,35.627416997969505,1.2854376686560887,0.03825606444485386,-0.010959658192994713,7.407407407407407,29,2.84,26,9.350982000000045
14,50,139623,11.333333333333327,18.000000000000007,8.333333333333334,0.7352941176470593,0.4629629629629628,45.28427124746187,1.294816589328388,0.06922184958450918,0.03527658020654397,6.896551724137931,24,2.52,28,29.00321500000007
15,50,149596,13.666666666666666,27,8.333333333333334,0.6097560975609757,0.308641975308642,44.04163056034259,1.273322425782253,0.01321311699639987,0.0002504153113535007,7.142857142857143,21,2.52,23,18.81594700000005
16,50,159569,10.833333333333332,12.000000000000009,8.333333333333334,0.7692307692307694,0.694444444444444,41.384776310850214,1.3056990464881253,0.06460223599389774,0.03269640113282866,6.25,28,2.56,28,14.38038199999994
17,50,169542,13.999999999999998,24.000000000000007,8.333333333333334,0.5952380952380953,0.34722222222222215,46.69848480983496,1.3137541626955946,0.06946554639077433,0.03305007596646423,6.451612903225806,22,2.48,28,29.2576499999999
18,50,179515,15.499999999999998,27,8.333333333333334,0.5376344086021506,0.308641975308642,48.69848480983496,1.3034569421350288,0.012005122980280484,0.0006861126803276243,6.0606060606060606,26,2.4,26,28.867042000000083
19,50,189488,10.999999999999998,16,8.333333333333334,0.7575757575757578,0.5208333333333334,42.45584412271568,1.3177442847533045,0.09965110529852128,0.060675866364489114,6.896551724137931,30,2.6,23,15.869844000000057
20,50,199461,10.999999999999998,24.000000000000007,8.333333333333334,0.7575757575757578,0.34722222222222215,38.6274169979695,1.3003653332813812,0.06056523681399902,0.02930802824518549,7.407407407407407,26,2.72,24,12.41751899999997
21,50,209434,16,36.000000000000014,8.333333333333334,0.5208333333333334,0.2314814814814814,42.28427124746187,1.377116552801541,0.07284108330582943,-0.0054843011182971945,6.451612903225806,20,2.64,26,12.428881000000047
22,50,219407,13.83333333333333,27.000000000000014,8.333333333333334,0.602409638554217,0.30864197530864185,43.69848480983496,1.3162636514011923,0.023082693641213733,0.0006953335845504978,6.666666666666667,18,2.6,28,26.194609000000014
23,50,229380,10.166666666666664,18.000000000000004,8.333333333333334,0.8196721311475412,0.4629629629629629,33.727922061357845,1.3062350477613127,0.05618097653262472,0.026391180340007644,7.407407407407407,28,2.8,26,8.109482000000071
24,50,239353,13.333333333333336,35.99999999999999,8.333333333333334,0.6249999999999999,0.23148148148148154,46.11269837220805,1.3035528374408145,0.034969971022664165,0.006428898051218976,7.142857142857143,20,2.52,22,18.18889999999999
25,50,249326,15.16666666666666,35.99999999999999,8.333333333333334,0.5494505494505497,0.23148148148148154,41.04163056034259,1.2844259418121389,0.04218002144405508,-0.005845335889063397,6.666666666666667,22,2.64,26,20.874477999999954
26,50,259299,15.499999999999996,36,8.333333333333334,0.5376344086021507,0.2314814814814815,43.04163056034259,1.3241789909222996,0.06739788435692122,0.012158713204000486,6.451612903225806,20,2.56,27,25.76351699999998
27,50,269272,13,27,8.333333333333334,0.6410256410256411,0.308641975308642,39.28427124746187,1.290987993747424,0.04550634022225355,-0.01664493172586031,6.896551724137931,26,2.76,30,13.90282400000001
28,50,279245,15.166666666666664,27.000000000000018,8.333333333333334,0.5494505494505496,0.3086419753086418,43.455844122715675,1.2729296916955004,0.021219443321098964,0.004532493328368169,6.0606060606060606,26,2.56,27,18.951108999999974
