# plancktons export
# algorithm_version=2
# commit=22ed7bd
# build_time=2026-05-17T18:04:03.181Z
# export_time=2026-05-17T18:04:10.899Z
# n_trials=1400
# startSeed=1
# chiralityBias=0.5
# strategy=compact
# compactBeta=3
# note=sweep_N=[10,20,40,70,100,150,200]
trial,N,seed,V,Vbbox,Vstar,efficiency,bboxEfficiency,surface,rg,kappaSq,prolateness,meanCoord,maxCoord,meanTetCoord,chirR,ms
0,10,1,2.1666666666666665,4.000000000000002,1.6666666666666667,0.7692307692307693,0.4166666666666665,12.071067811865476,0.9842509842514764,0.07246618106139437,0.02742573260380651,3.6363636363636362,7,2,4,7.725958000000048
1,10,9974,3.333333333333333,12.000000000000004,1.6666666666666667,0.5000000000000001,0.13888888888888887,13.899494936611667,1.0618380290797649,0.13304261040997836,0.06905173968985562,3.3333333333333335,9,1.8,7,2.471418999999969
2,10,19947,1.9999999999999998,4.000000000000001,1.6666666666666667,0.8333333333333335,0.4166666666666666,10.242640687119286,0.9733961166965892,0.08020690471383521,0.020318501826388943,3.6363636363636362,10,2.2,4,0.9707260000000133
3,10,29920,3.166666666666667,8.000000000000002,1.6666666666666667,0.5263157894736842,0.2083333333333333,12.485281374238573,1.0043654713300334,0.09186808732143936,0.02911661064934189,3.3333333333333335,10,2,4,2.500522999999987
4,10,39893,2.499999999999999,8.000000000000004,1.6666666666666667,0.666666666666667,0.20833333333333326,11.485281374238573,0.9701803955966128,0.03546504552837787,-0.0013784641753931924,3.6363636363636362,8,2.2,6,1.0151299999999992
5,10,49866,2.833333333333333,8,1.6666666666666667,0.5882352941176472,0.20833333333333334,12.485281374238571,0.9855201672213512,0.03728328438753153,-0.0012606208399354142,3.6363636363636362,9,2,6,1.32394400000004
6,10,59839,2.833333333333333,8,1.6666666666666667,0.5882352941176472,0.20833333333333334,11.485281374238571,0.9931012033020602,0.05082720101008636,0.010038453785451996,3.6363636363636362,9,2.2,6,0.5539610000000152
7,10,69812,3.166666666666667,8,1.6666666666666667,0.5263157894736842,0.20833333333333334,12.485281374238571,1.035615758860399,0.09368021256133131,0.000004787622764084914,3.6363636363636362,10,2,4,0.5179539999999747
8,10,79785,2.1666666666666665,6,1.6666666666666667,0.7692307692307693,0.2777777777777778,12.485281374238571,1.024084957413202,0.11788396709289807,0.06253081760808628,3.6363636363636362,6,2,5,0.7569689999999696
9,10,89758,3.6666666666666665,8.000000000000002,1.6666666666666667,0.4545454545454546,0.2083333333333333,13.899494936611665,1.0185774393731681,0.04090579184206697,0.012160472343722419,3.076923076923077,9,1.8,8,0.6639749999999935
10,10,99731,2.666666666666667,12.000000000000004,1.6666666666666667,0.625,0.13888888888888887,11.485281374238573,0.9918417212438685,0.02119737991407382,0.000465215035436637,3.6363636363636362,8,2.2,5,0.5486809999999878
11,10,109704,2.166666666666666,4.000000000000002,1.6666666666666667,0.7692307692307695,0.4166666666666665,9.65685424949238,0.968245836551854,0.04085333333333332,0.008115199999999993,4,8,2.4,5,0.4244399999999473
12,10,119677,2.333333333333333,12,1.6666666666666667,0.7142857142857144,0.1388888888888889,12.071067811865476,1.1197097838279344,0.4022717490598991,0.5069861959207957,3.3333333333333335,8,2,6,0.4645840000000021
13,10,129650,2.666666666666667,8,1.6666666666666667,0.625,0.20833333333333334,11.071067811865476,1.0271319292087069,0.23216010422048022,0.21426674307060592,3.6363636363636362,10,2.2,4,0.6740040000000249
14,10,139623,3.6666666666666665,12,1.6666666666666667,0.4545454545454546,0.1388888888888889,13.313708498984765,1.0068515282801132,0.044336428364002325,0.007528859540586271,3.3333333333333335,8,2,6,0.5525580000000332
15,10,149596,3.333333333333333,8.000000000000002,1.6666666666666667,0.5000000000000001,0.2083333333333333,13.313708498984763,0.9918417212438687,0.019841160923455912,0.0021572268565505457,3.6363636363636362,10,2,7,0.76878099999999
16,10,159569,2.3333333333333335,12,1.6666666666666667,0.7142857142857143,0.1388888888888889,12.485281374238573,1.0440306508910548,0.18599023651207813,0.1575084418958958,3.6363636363636362,8,2,6,0.49459999999999127
17,10,169542,2.9999999999999996,8,1.6666666666666667,0.5555555555555557,0.20833333333333334,11.485281374238571,1.0374246960623212,0.10913086233898663,-0.03645421049316475,3.6363636363636362,10,2.2,5,0.4450989999999706
18,10,179515,3.1666666666666665,8,1.6666666666666667,0.5263157894736843,0.20833333333333334,12.485281374238571,0.9766012492312305,0.04367975622199054,0.005078477401049799,3.3333333333333335,8,2,4,0.8069619999999986
19,10,189488,3.1666666666666665,8.000000000000002,1.6666666666666667,0.5263157894736843,0.2083333333333333,12.485281374238571,1.0074720839804943,0.04450484117547134,-0.01598047535409729,3.3333333333333335,8,2,4,0.8169409999999857
20,10,199461,3.1666666666666665,8,1.6666666666666667,0.5263157894736843,0.20833333333333334,12.485281374238571,1.0386289038920493,0.10809928984691895,0.06304108724811396,3.3333333333333335,10,2,5,0.5525789999999802
21,10,209434,2.999999999999999,8,1.6666666666666667,0.5555555555555557,0.20833333333333334,13.485281374238571,1.019803902718557,0.10063794378698226,0.059805452036868496,3.3333333333333335,9,1.8,5,0.5026849999999854
22,10,219407,2.6666666666666665,12,1.6666666666666667,0.6250000000000001,0.1388888888888889,11.485281374238571,1.0240849574132018,0.1450745183053213,0.07058036511468639,3.6363636363636362,8,2.2,6,0.46523500000000695
23,10,229380,2.1666666666666665,8,1.6666666666666667,0.7692307692307693,0.20833333333333334,11.899494936611667,0.9740379869389079,0.01826305675764347,0.0020867865851621568,4,8,2.2,4,1.9022800000000188
